Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Height-D,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,X-cm,Y-cm
0,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
1,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
2,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
3,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
4,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
5,1834,1077,118,125,14750,-65.59233133,3840,2160,42,1920,1080,1893,1139.5,86.5,65.33949801,169,179
6,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
7,1834,1085,119,118,14042,-67.5073881,3840,2160,42,1920,1080,1893.5,1144,90.5,69.26940161,169,179
8,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
9,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
10,1834,1084,118,118,13924,-66.80140949,3840,2160,42,1920,1080,1893,1143,90,68.54195795,169,179
11,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,169,179
12,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,169,179
13,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
14,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
15,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,169,179
16,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,169,179
17,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
18,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
19,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
20,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
21,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
22,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,169,179
23,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,169,179
24,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,169,179
25,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,169,179
26,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,169,179
27,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,169,179
28,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,169,179
29,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,169,179
30,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,169,179
31,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,169,179
32,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
33,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
34,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
35,1834,1086,118,119,14042,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
36,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
37,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,169,179
38,1833,1087,119,118,14042,-67.38013505,3840,2160,42,1920,1080,1892.5,1146,93.5,71.5,169,179
39,1833,1087,119,118,14042,-67.38013505,3840,2160,42,1920,1080,1892.5,1146,93.5,71.5,169,179
