Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Altitude,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,GSD-X,GSD-Y,X-cm,Y-cm,GSD
0,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
1,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
2,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
3,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
4,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
5,1834,1077,118,125,14750,-65.59233133,3840,2160,42,1920,1080,1893,1139.5,86.5,65.33949801,1.43220339,1.432,169,179,1.415
6,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
7,1834,1085,119,118,14042,-67.5073881,3840,2160,42,1920,1080,1893.5,1144,90.5,69.26940161,1.420168067,1.516949153,169,179,1.415
8,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
9,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
10,1834,1084,118,118,13924,-66.80140949,3840,2160,42,1920,1080,1893,1143,90,68.54195795,1.43220339,1.516949153,169,179,1.415
11,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,1.43220339,1.504201681,169,179,1.415
12,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,1.43220339,1.504201681,169,179,1.415
13,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
14,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
15,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,1.43220339,1.504201681,169,179,1.415
16,1834,1084,118,119,14042,-66.96495551,3840,2160,42,1920,1080,1893,1143.5,90.5,69.00181157,1.43220339,1.504201681,169,179,1.415
17,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
18,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
19,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
20,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
21,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
22,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,1.43220339,1.516949153,169,179,1.415
23,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,1.43220339,1.52991453,169,179,1.415
24,1834,1077,118,126,14868,-65.77225468,3840,2160,42,1920,1080,1893,1140,87,65.7951366,1.43220339,1.420634921,169,179,1.415
25,1834,1085,118,118,13924,-67.12633481,3840,2160,42,1920,1080,1893,1144,91,69.46221995,1.43220339,1.516949153,169,179,1.415
26,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,1.43220339,1.52991453,169,179,1.415
27,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,1.43220339,1.52991453,169,179,1.415
28,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,1.43220339,1.52991453,169,179,1.415
29,1834,1086,118,117,13806,-67.28558765,3840,2160,42,1920,1080,1893,1144.5,91.5,69.92317212,1.43220339,1.52991453,169,179,1.415
30,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,1.43220339,1.516949153,169,179,1.415
31,1834,1086,118,118,13924,-67.44275337,3840,2160,42,1920,1080,1893,1145,92,70.38465742,1.43220339,1.516949153,169,179,1.415
32,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
33,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
34,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
35,1834,1086,118,119,14042,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.504201681,169,179,1.415
36,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
37,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
38,1833,1087,119,118,14042,-67.38013505,3840,2160,42,1920,1080,1892.5,1146,93.5,71.5,1.420168067,1.516949153,169,179,1.415
39,1833,1087,119,118,14042,-67.38013505,3840,2160,42,1920,1080,1892.5,1146,93.5,71.5,1.420168067,1.516949153,169,179,1.415
40,1834,1087,118,117,13806,-67.59787041,3840,2160,42,1920,1080,1893,1145.5,92.5,70.84666541,1.43220339,1.52991453,169,179,1.415
41,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
42,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
43,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
44,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
45,1834,1087,118,118,13924,-67.75097634,3840,2160,42,1920,1080,1893,1146,93,71.30918594,1.43220339,1.516949153,169,179,1.415
46,1834,1087,119,118,14042,-68.12379189,3840,2160,42,1920,1080,1893.5,1146,92.5,71.12137513,1.420168067,1.516949153,169,179,1.415
47,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
48,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
49,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
50,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
51,1833,1088,119,118,14042,-67.68441142,3840,2160,42,1920,1080,1892.5,1147,94.5,72.4240982,1.420168067,1.516949153,169,179,1.415
52,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
